Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-08, 2020-07-08T16:11:28, 4072.6, 4072.6, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:11:29, 4072.9, 4073.3, 4072.9, 4073.3
2020-07-08, 2020-07-08T16:11:30, 4072.9, 4072.9, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:11:31, 4073.3, 4073.3, 4073.3, 4073.3
2020-07-08, 2020-07-08T16:11:33, None, None, None, None
2020-07-08, 2020-07-08T16:11:36, 4073.6, 4073.9, 4073.6, 4073.9
2020-07-08, 2020-07-08T16:11:37, 4073.6, 4074.3, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:11:38, 4073.9, 4073.9, 4073.9, 4073.9
2020-07-08, 2020-07-08T16:11:40, 4073.6, 4073.9, 4073.6, 4073.9
2020-07-08, 2020-07-08T16:11:41, 4073.6, 4073.6, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:11:42, None, None, None, None
2020-07-08, 2020-07-08T16:11:44, 4073.3, 4073.6, 4073.3, 4073.6
2020-07-08, 2020-07-08T16:11:48, None, None, None, None
2020-07-08, 2020-07-08T16:11:49, None, None, None, None
2020-07-08, 2020-07-08T16:11:51, None, None, None, None
2020-07-08, 2020-07-08T16:11:52, 4073.3, 4073.9, 4073.3, 4073.9
2020-07-08, 2020-07-08T16:11:53, 4073.6, 4073.6, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:11:55, 4073.9, 4074.3, 4073.9, 4074.3
2020-07-08, 2020-07-08T16:11:56, 4073.6, 4073.6, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:11:58, 4073.9, 4074.3, 4073.9, 4073.9
2020-07-08, 2020-07-08T16:11:59, 4073.6, 4073.9, 4073.6, 4073.9
2020-07-08, 2020-07-08T16:12:00, 4073.6, 4073.6, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:12:01, 4073.9, 4073.9, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:12:05, None, None, None, None
2020-07-08, 2020-07-08T16:12:06, None, None, None, None
2020-07-08, 2020-07-08T16:12:07, 4073.9, 4074.6, 4073.9, 4074.6
2020-07-08, 2020-07-08T16:12:08, 4074.9, 4075.3, 4074.6, 4074.6
2020-07-08, 2020-07-08T16:12:09, 4074.3, 4074.6, 4074.3, 4074.3
2020-07-08, 2020-07-08T16:12:10, 4074.6, 4074.6, 4074.4, 4074.4
2020-07-08, 2020-07-08T16:12:12, 4074.3, 4074.6, 4074.3, 4074.6
2020-07-08, 2020-07-08T16:12:14, 4074.3, 4074.3, 4074.3, 4074.3
2020-07-08, 2020-07-08T16:12:15, 4073.9, 4073.9, 4073.9, 4073.9
2020-07-08, 2020-07-08T16:12:16, 4074.3, 4074.3, 4073.9, 4074.3
2020-07-08, 2020-07-08T16:12:18, 4073.9, 4073.9, 4073.9, 4073.9
2020-07-08, 2020-07-08T16:12:20, None, None, None, None
2020-07-08, 2020-07-08T16:12:22, 4073.6, 4073.6, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:12:24, 4073.9, 4073.9, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:12:26, 4073.3, 4073.3, 4073.3, 4073.3
2020-07-08, 2020-07-08T16:12:27, 4072.9, 4072.9, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:12:28, None, None, None, None
2020-07-08, 2020-07-08T16:12:30, 4073.1, 4073.1, 4072.6, 4072.9
2020-07-08, 2020-07-08T16:12:31, 4072.6, 4072.6, 4072.6, 4072.6
